age,sex,pb_surface,pb_elev,pb100k_time,pb100k_dec,avg_km,teique_sf,steu_b,stem_b
26.00,2.00,1,9000.00,12:47:00,12.77,80.00,5.03,13.00,12.08
35.00,1.00,4,,09:03:00,9.05,,5.73,10.00,9.58
44.00,2.00,1,1810.00,16:18:00,16.30,90.00,5.97,14.00,13.67
46.00,1.00,3,3658.00,17:00:00,17.00,60.00,5.20,12.00,7.92
64.00,2.00,1,122.00,22:00:00,22.00,60.00,6.20,14.00,10.75
45.00,1.00,3,703.00,09:30:30,9.50,65.00,5.53,13.00,9.83
38.00,2.00,1,1333.00,15:28:50,15.46,50.00,6.43,16.00,11.92
37.00,2.00,4,600.00,08:42:00,8.70,100.00,5.13,13.00,13.58
43.00,2.00,1,4354.00,16:45:00,16.75,85.00,6.07,9.00,10.33
49.00,2.00,4,1770.00,12:00:00,12.00,80.00,5.70,15.00,12.75
49.00,1.00,3,,14:25:00,14.41,60.00,4.70,12.00,8.75
43.00,2.00,1,200.00,10:30:00,10.50,60.00,5.73,,
33.00,2.00,1,3353.00,17:00:00,17.00,75.00,4.97,8.00,9.58
33.00,2.00,1,3048.00,11:11:00,11.17,45.00,4.23,12.00,10.42
30.00,1.00,1,6096.00,15:30:00,15.50,75.00,,13.00,9.83
32.00,2.00,1,488.00,17:00:00,17.00,50.00,4.30,13.00,12.92
56.00,1.00,1,457.00,13:52:00,13.86,77.00,5.40,15.00,10.08
38.00,1.00,1,4145.00,20:00:00,20.00,55.00,5.20,,
27.00,2.00,1,1926.00,10:27:54,10.45,140.00,4.27,,
29.00,1.00,3,305.00,10:21:00,10.34,70.00,,,
42.00,2.00,1,6000.00,13:20:00,13.33,100.00,,,
32.00,2.00,1,3048.00,14:00:00,14.50,60.00,5.53,11.00,10.75
48.00,1.00,3,0.00,07:54:00,7.90,100.00,5.47,12.00,
51.00,1.00,1,400.00,11:00:00,11.00,80.00,5.43,14.00,14.08
42.00,2.00,1,8850.00,10:43:00,10.71,110.00,3.93,12.00,11.67
50.00,2.00,4,5791.00,12:00:00,12.00,55.00,,,
54.00,2.00,1,3720.00,15:22:00,15.36,95.00,5.63,,
41.00,1.00,1,8850.00,19:25:00,19.41,100.00,,10.00,10.75
26.00,1.00,3,0.00,14:00:00,14.00,120.00,5.13,9.00,
56.00,2.00,1,0.00,09:00:00,9.00,65.00,5.17,11.00,12.33
34.00,2.00,1,3850.00,15:10:42,15.16,48.00,4.57,10.00,11.17
49.00,2.00,4,1772.00,12:00:00,12.00,80.00,,,
42.00,2.00,1,6500.00,18:49:00,18.81,55.00,,13.00,
62.00,1.00,3,0.00,10:30:00,10.50,125.00,,,
37.00,1.00,1,4267.00,12:00:00,12.00,40.00,4.90,15.00,14.08
64.00,2.00,1,2000.00,14:00:00,14.00,60.00,,14.00,9.92
36.00,2.00,1,3048.00,16:00:00,15.00,56.00,5.70,,
87.00,2.00,4,3048.00,09:00:00,9.00,160.00,4.47,15.00,10.33
31.00,1.00,1,2987.00,20:00:00,20.00,50.00,4.43,,
37.00,1.00,1,3505.00,21:30:00,21.50,72.00,5.57,12.00,11.67
36.00,2.00,3,518.00,11:20:00,11.33,80.00,4.93,11.00,
35.00,2.00,1,6706.00,15:00:00,15.00,95.00,6.20,12.00,10.00
32.00,2.00,1,3780.00,22:15:00,21.25,,4.47,,
31.00,1.00,1,3962.00,23:00:00,23.00,64.00,,14.00,
34.00,1.00,1,6096.00,22:00:00,22.00,25.00,,,
32.00,1.00,1,6096.00,18:36:05,18.60,65.00,4.80,15.00,12.08
33.00,2.00,1,3901.00,21:54:00,21.90,60.00,6.20,,
49.00,2.00,1,3840.00,16:06:00,16.16,70.00,5.60,8.00,9.58
19.00,2.00,1,2743.00,15:30:00,15.50,50.00,,,
